City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
276,sinj,43.7036,16.6394,10.86,68,11,2.23,HR,1682631829
277,itirucu,-13.5317,-40.1503,20.19,86,45,2.3,BR,1682631829
278,zboriv,49.6648,25.141,2.63,82,15,2.71,UA,1682631830
279,panama city beach,30.1766,-85.8055,20.01,94,100,3.09,US,1682631802
280,weno,7.4515,151.8468,25.97,89,100,1.54,FM,1682631830
281,jilib,0.4883,42.7854,25.51,85,100,2.81,SO,1682631830
282,ratnapura,6.6828,80.3992,23.98,93,85,1.66,LK,1682631830
283,glasgow,55.8652,-4.2576,9.89,94,100,2.06,GB,1682631830
284,mancio lima,-7.6142,-72.8958,25.04,100,75,1.54,BR,1682631830
285,fort scott,37.8398,-94.7083,17.18,70,100,3.35,US,1682631696
286,yaren,-0.5472,166.916,28.83,75,48,6.98,NR,1682631831
287,sinabang,2.4803,96.3801,26.4,83,100,0.94,ID,1682631831
288,kashgar,39.4547,75.9797,11.56,62,20,6.0,CN,1682631831
289,chandur,19.7333,79.1833,26.51,57,33,0.76,IN,1682631831
290,angaur state,6.906,134.13,28.49,75,87,2.2,PW,1682631831
291,bikenibeu village,1.3673,173.1241,29.98,74,20,3.6,KI,1682631831
292,aginskoye,51.1,114.53,-0.48,59,16,3.26,RU,1682631831
293,ulaangom,49.9811,92.0667,1.31,41,90,0.87,MN,1682631832
294,omutinskiy,56.4745,67.6709,13.46,57,20,4.39,RU,1682631832
295,chistyye bory,58.3647,41.6278,5.82,97,15,1.89,RU,1682631832
296,pacasmayo,-7.4006,-79.5714,25.61,73,45,6.15,PE,1682631832
297,mata-utu,-13.2816,-176.1745,28.34,71,93,2.62,WF,1682631832
298,sanya,18.2431,109.505,25.09,88,0,3.0,CN,1682631832
299,suva,-18.1416,178.4415,25.71,94,40,3.6,FJ,1682631832
300,lihue,21.9789,-159.3672,26.58,66,0,4.63,US,1682631832
301,new norfolk,-42.7826,147.0587,14.72,66,6,0.45,AU,1682631833
302,sinan,34.8262,126.1086,8.06,86,92,6.3,KR,1682631833
303,tharyarwady,17.65,95.8,25.56,78,1,2.14,MM,1682631833
304,saint-philippe,-21.3585,55.7679,20.77,82,46,4.65,RE,1682631833
305,cabedelo,-6.9811,-34.8339,27.37,81,41,3.12,BR,1682631660
306,pimampiro,0.4,-77.9667,18.8,81,89,0.8,EC,1682631833
307,nieuw amsterdam,5.8833,-55.0833,28.09,81,40,4.12,SR,1682631593
308,hadibu,12.65,54.0333,28.43,75,44,3.14,YE,1682631834
309,lae,-6.7221,146.9847,26.37,76,95,1.98,PG,1682631568
310,port mathurin,-19.6833,63.4167,26.02,81,76,6.62,MU,1682631834
311,nuuk,64.1835,-51.7216,2.34,80,20,7.72,GL,1682631834
312,holualoa,19.6228,-155.9522,24.91,81,40,3.6,US,1682631834
313,mariental,-24.6333,17.9667,24.45,41,54,3.77,NA,1682631834
314,biloela,-24.4167,150.5,19.69,73,0,3.84,AU,1682631834
315,rumbek,6.802,29.6912,26.8,66,87,1.15,SS,1682631834
316,pacific grove,36.6177,-121.9166,29.25,82,0,4.02,US,1682631834
317,gadzhiyevo,69.2551,33.3362,-3.72,85,18,5.66,RU,1682631587
318,coahuayana de hidalgo,18.7,-103.6583,30.4,42,3,3.54,MX,1682631835
319,yarmouth,41.7057,-70.2286,11.47,81,100,4.12,US,1682631706
320,merizo village,13.2658,144.6691,27.77,90,15,8.63,GU,1682631835
321,arroyo,41.6096,-4.7969,22.02,43,0,1.54,ES,1682631536
322,pandan,14.0453,124.1694,26.6,86,21,3.97,PH,1682631835
323,tazovsky,67.4667,78.7,-6.92,92,100,3.21,RU,1682631835
324,safonovo,55.15,33.2167,6.22,93,100,3.65,RU,1682631835
325,padang,-0.9492,100.3543,24.03,91,100,1.64,ID,1682631835
326,adigrat,14.277,39.462,16.38,59,100,1.57,ET,1682631835
327,howrah,22.5892,88.3103,25.0,83,40,2.57,IN,1682631836
328,remire-montjoly,4.9167,-52.2667,26.02,89,20,2.06,GF,1682631743
329,midland,31.9974,-102.0779,28.22,21,0,6.17,US,1682631832
330,radford,37.1318,-80.5764,15.17,88,100,4.63,US,1682631836
331,nurota,40.5614,65.6886,15.88,29,0,0.58,UZ,1682631836
332,santa ana,33.7456,-117.8678,33.17,60,40,4.12,US,1682631836
333,tateyama,34.9833,139.8667,17.77,68,25,7.26,JP,1682631836
334,san ignacio,17.1561,-89.0714,39.08,39,0,3.09,BZ,1682631836
335,boca do acre,-8.7522,-67.3978,27.11,77,96,0.43,BR,1682631836
336,al hufuf,25.3646,49.5653,23.19,27,0,3.09,SA,1682631836
337,luuq,3.7938,42.5445,29.22,64,100,4.25,SO,1682631837
338,husiatyn,49.0726,26.2141,4.65,100,11,3.32,UA,1682631837
339,kiunga,-6.1219,141.2906,24.19,98,88,1.0,PG,1682631645
340,camiri,-20.05,-63.5167,23.88,73,40,0.0,BO,1682631837
